,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
590,2019-09-13,30.27,30.85,29.950001,30.690001000000002,30.690001000000002,47758800,-1.5640338362973742
591,2019-09-16,30.370001000000002,31.15,30.26,30.83,30.83,52248500,-0.45409990269217
592,2019-09-17,31.07,31.32,30.74,30.99,30.99,35011700,-0.5162955792191034
593,2019-09-18,30.75,30.889999,29.879998999999998,30.42,30.42,47027500,1.8737672583826321
594,2019-09-19,30.57,30.959999,30.139999,30.290001,30.290001,41603000,0.4291812337675444
595,2019-09-20,30.360001,30.469998999999998,29.65,30.049999,30.049999,79957400,0.7986755673436146
596,2019-09-23,30.120001000000002,30.799999,30.07,30.639999,30.639999,44366800,-1.92558753020847
597,2019-09-24,30.540001,30.75,29.290001,29.52,29.52,72963000,3.794034552845529
598,2019-09-25,29.48,29.65,28.549999,29.540001,29.540001,58234800,-0.06770818998956907
599,2019-09-26,29.67,29.77,29.0,29.469998999999998,29.469998999999998,40745400,0.23753648583429657
600,2019-09-27,29.17,29.77,28.35,28.719998999999998,28.719998999999998,54091100,2.6114207037402757
601,2019-09-30,28.889999,29.049999,28.360001,28.99,28.99,37295600,-0.9313590893411543
602,2019-10-01,29.049999,29.540001,28.639999,28.76,28.76,37081800,0.7997218358831601
603,2019-10-02,28.5,28.85,28.030001000000002,28.309998999999998,28.309998999999998,43640700,1.5895479190939001
604,2019-10-03,28.280001000000002,28.780001000000002,27.43,28.68,28.68,56325200,-1.2901011157601185
605,2019-10-04,28.83,29.059998999999998,28.280001000000002,29.01,29.01,34446700,-1.1375387797311336
606,2019-10-07,28.9,29.629998999999998,28.84,28.93,28.93,39337200,0.2765295540961004
607,2019-10-08,28.549999,28.639999,27.92,28.23,28.23,44265700,2.4796315975912124
608,2019-10-09,28.799999,28.950001,28.35,28.459999,28.459999,35661500,-0.8081483066812455
609,2019-10-10,28.52,28.889999,28.0,28.379998999999998,28.379998999999998,40660100,0.28188866391433576
